brand,city,title,desc,image_count,created_at,price
Huawei,Ahvaz,"['Honor', '4c']","['گوش', 'اک', '2ماه', 'کارکرد']",1,Tuesday 11PM,383230.7495110912
Nokia,Tehran,"['nokia', 'lumia', '625']","['گوش', 'تمیزه', 'کارتن', 'شارژر', 'سیستم', 'عامل', 'گوش', 'ویندوز', 'فون', 'معاوضه', 'سون', 'اکسپریا']",1,Thursday 05PM,285372.369299037
Nokia,Tehran,"['گوش', 'n', '97', 'ای', 'نوکیا']","['گوش', 'سالمه', 'یه', 'باتری', 'میخواد', 'قاب', 'پشت', 'قیمتتونو', 'اس', 'ام', 'اس']",3,Thursday 09PM,88872.22848856836
Apple,Qom,"['اپل6s', 'plus', 'گیگ', '128', 'اک']","['اک', 'خطو', 'خش', 'قاب', 'برچسب', 'بیمه', 'بزج', '11', 'سیلور']",0,Sunday 08PM,1487829.5746957194
Apple,Tehran,"['گوش', 'اپل', '6', '64', 'gig']","['گوش', 'اپل', '6', '64', 'gig', 'llaبه', 'رنگ', 'گر', 'العاده', 'سالم', 'تمیز', 'آکبند', '8نقطه', 'خط', 'خش', 'گوش', 'دست', 'خودم', 'فروش', 'میرسد', 'معاوضه', 'داشت#دار', 'اس', 'ام', 'اس', 'پاسخگو', '#هست']",5,Wednesday 01PM,1568196.1008882413
Nokia,Tehran,"['Lumia', '1520']","['گوش', 'lumia', '1520', 'سالم', 'کارکرد', 'جعبه', 'تجهیزات', 'جانبی', 'فابریک', 'سیستم', 'عامل', 'ویندوز', 'سلیقه', 'ها', 'دوربین', 'العاده', 'استثنایی']",1,Wednesday 10PM,411123.22904879384
Samsung,Isfahan,"['ساسونگ', 's7']","['سلام', 'گوش', 'رنگ', 'گلد', 'ایج', 'یکبار', 'شارژ', 'شد#شو', 'یه', 'گلس', 'روشه', 'ارزش', '130', 'هزار', 'تومن', 'یه', 'دون', 'پشت', '60', 'هزار', 'تومن', 'یه', 'مموری', 'روشه', '128', 'گیگ', 'NUMهزار', 'تومن', 'اگه', 'دنبال', 'گوش', 'اک', 'میگردی', 'NUMضررشا', 'باشه', 'مورده', 'اگه', 'دنبال', '20', 'درصد', '30', 'درصدی', 'تماس', 'گرفت#گیر', 'گوش', 'اک', 'اک']",0,Friday 01PM,1601268.756606321
HTC,Tehran,"['گوش', 'موبایل', 'htc', 'ویندوز', 'هشت']","['خط', 'خش', 'نو']",1,Friday 04PM,495378.84010994225
Huawei,Ahvaz,"['گوش', 'هانر', '6اک', 'اک', 'تمیز', 'معاوضه']","['گوش', 'اکـ', 'اک', 'اپل5sعوض', 'میکنم', '32', 'گیگ', 'تمیز', 'باشه', 'خواهش', 'سر', 'میدم', 'مرسی']",0,Saturday 11PM,592171.9585439522
Nokia,Tehran,"['گوش', '8800', 'گلد', 'نو']","['قیمت', 'تماس', 'گرفت#گیر']",2,Saturday 10AM,865823.6610590278
Apple,Tehran,"['iphone', '6s', 'SE']","['آیفون', '3اس', '83', 'گیگ', 'سیلور', 'آکبند', 'NUM', 'آیفون', 'SE', '83', 'گیگ', 'رزگلد', 'NUM']",2,Monday 11AM,1979540.330045608
Nokia,Kermanshah,"['نوکیا', '305']","['سالم', 'شرط', 'تمیز']",2,Monday 07PM,205418.31939474106
ZTE,Qom,"['گوش', 'موبایل', 'جی', 'ال', 'ایکس']","['گوش', 'خوردگی', 'دوسیم', 'کارته', 'وتمیز', 'ب', 'شارژش', 'ک', 'ی', 'مشکل', 'داره', 'جعبه', 'اینا', 'هس', 'قیمت', '80', 'هزار', 'تومن', 'رم', '68', 'تعویض', 'میشود']",2,Monday 09PM,236305.5033044016
Huawei,Ahvaz,"['huawei', 'p6']","['نتونستم', 'از', 'عکس', 'گرفت#گیر', 'قیمت', 'توافق', 'چندتا', 'خط', 'خش', 'کوچیک', 'اصلا', 'دیده', 'نمیشه', 'داره', 'پشت']",0,Wednesday 05AM,427842.0436469803
Apple,Ahvaz,"['گوش', 'موبایل', 'اپل', '3گیگ', '83']","['فروش', 'ایفون', '3خالی', '83', 'گیگ', 'تمیز', 'خط', 'وخش', 'تعمیر', 'دوعددگلاس', 'گذاشت#گذار', 'باتمام', 'وسایل', 'قیمت', '1450', 'بامشتری', 'کنارمیام', 'تماس', 'جواب', 'میدم']",3,Friday 01PM,1069929.342617083
Huawei,Karaj,"['معاوضه', 'آیفون', '5s', '5ترجیحا', '16', 'gig']","['گوش', 'هانر', '4xدرحد', 'اک', 'داشت#دار', 'آیفون', '5s', '5معاوضه', 'داشت#دار', 'پیشنهاداتون', 'تلگرام', 'فرستاد#فرست']",1,Friday 06PM,501102.4949677018
Nokia,Tehran,"['گوش', 'نوکیا', '500']","['دستگاه', 'گوش', 'نوکیا', '500', 'خر', 'کار', 'همراه', 'شارژر', 'هدفون', 'جعبه', 'وسه', 'عدد', 'قاب', 'اضافه', 'قاب', 'ژله', 'ای', 'اخره', 'انتن', 'دهیه', 'نگه', 'داشت#دار', 'شارژ']",1,Saturday 12AM,277461.06439826585
Apple,Tehran,"['گوش', 'اپل', '5S', '32']","['تمیز', 'LLA', 'Silver']",3,Saturday 06PM,1026032.3000985205
LG,Qom,"['ال', 'جی', 'G3']","['سلام', '32', 'گیگ', 'رام3', 'دوربین', '13', 'جلو5مگا', 'فورجی', 'سفیددرحدآک', 'قیمت', 'پیشنهادیتونواس', 'تشکر', 'قیمت', 'آکش', '980', 'تومان', 'میباشد']",0,Saturday 08PM,666385.7093560769
Samsung,Tehran,"['گوش', 'موبایل', 'سامسونگ', 's5', 'mini']","['ضربه', 'خوردگی', 'اندروید', '5', 'مشابه', 's5', 'دوربین', '8mp', 'صفحه', 'تر', 'سیمکارت', 'صفحه', 'ضدخش', 'ضدآب', 'حسگراثرانگشت', 'سفید', 'هندزفری']",0,Wednesday 09PM,362338.2393171183
Apple,Tehran,"['آیفون', '6', 'گلد', '64', 'گیگ']","['تمییز', 'بنز', 'اس', 'ام', 'اس', 'پاسخگو', '#هست', 'NUM']",0,Friday 09AM,1599616.6741558088
Samsung,Tehran,"['گوش', 'سامسونگ']","['7عدد', 'گوش', 'یکجا', 'قيمت', '29', 'هزار', 'تومان', 'فروش', 'میرسد', 'خریدار', 'واقعی', 'تماس', 'تلفن', 'جعفري', 'NUM', 'تشكر', 'برنامه', 'ديوار']",2,Tuesday 12PM,428523.2158431583
Samsung,Ahvaz,['کوشیS3'],"['ضربه', 'یاخش', 'ازدبی', 'اوردنش', 'برام', 'اصل', 'وبازنشده', 'نونو', 'سامسونک', 'S3']",0,Thursday 06PM,611717.7294011203
HTC,Shiraz,"['فروش', 'گوش', 'اچ', 'تی', 'دیزایر', '310']","['فروش', 'گوش', 'اچ', 'تی', '310', 'دیزایر']",2,Thursday 07PM,351197.4916278863
Sony,Tehran,"['سون', 'اکسپریا']","['گوش', 'سالم', 'شرط', 'استفاده', '1هفته', 'عیب', 'ایراد', 'نداره', 'یه', 'رم', '8گیگ', 'کلاس', '10', 'میدم', 'دلیل', 'فروخت#فروش', 'اینه', 'یه', 'گوش', 'تازه', 'خریدمو', 'استفاده', 'ای', 'از', 'داشت#دار']",4,Saturday 11AM,365561.7378918438
Samsung,Tehran,"['Note', '4', 'H', 'Gold', '32', 'G']","['نو', '4', 'H', 'رنگ', 'گلد', '32', 'گیگ', 'خط', 'خش', 'تر', 'تمیز', 'قاب', 'ژله', 'ای', 'آداپتور', 'اصل', 'اندروید', '6', 'همراه', 'جعبه', 'عجله', 'داشت#دار', 'فروش', 'میخام', 'S7', 'ادج', 'خرید#خر', 'قیمت', 'NUMتومان', 'تخفیف', 'یکم', 'میدم', 'مشتری', 'یه', 'رم', '32', 'گیگ', 'میکرو', 'با', 'میدم', 'استفاده', 'ای', 'رم']",0,Saturday 10PM,1328093.493804164
Apple,Tehran,"['گوش', '5s']","['تمیز', 'دیدنی', '5s', '32', 'g', 'رنگ', 'سفید']",0,Sunday 09AM,971323.8294532575
Apple,Qom,"['اپل', '6سیلور', '16', 'گیگ', 'معاوضه']","['گوش', 'تمیز', 'خط', 'خش', 'تعویض', 's6', '64', 'گیگ', '128', 'گلد']",0,Saturday 12AM,1285821.1950749538
Apple,Tehran,"['گوش', 'اپل', 'فور', 'سفید', 'سالم']","['فروش', 'صورت', 'توافق']",0,Friday 05AM,831610.8062247717
Sony,Kermanshah,"['گوش', 'موبایل', 'سون', 'زد#زن', '3', 'پلاس', 'زد4']","['4', 'ماهه', 'خرید#خر', 'گوشیو', 'میخام', 'فروخت#فروش', 'فن', 'سالمه', 'کارتون', 'داره', 'شارژ', 'داره', 'هندسفیری', 'جلد', 'شد#شو', 'ظاهر', 'سالم', 'تلق', 'خط', 'داره', 'اونم', 'ب', 'خریدار', 'واقعی', 'پوله', 'تلقو', 'میدم', 'قیمت', 'اصل', 'بازار', '1میلیون', '50', 'هزاره', '650', 'هزار', 'تومن', 'گذاشت#گذار', 'فورجی', 'دوسیم', 'کارته', 'ممنون', 'مدیر', 'برنامه', 'دیوار']",2,Friday 08AM,517027.0264745106
Samsung,Tehran,"['s4', 'mini']","['s4', 'mini', 'سیم', 'سالم']",1,Friday 03PM,462095.97785204643
Samsung,Mashhad,"['سامسونگ', 'جی', '7', 'فورجی', 'گلد']","['گوش', 'سالم', 'خط', 'وخش', 'ماهه', 'خریدمش', 'تنوع', 'میخام', 'عوض', 'گوش', 'دیده', 'بشه', 'واقعا', 'سالمه']",2,Saturday 07AM,629935.6706124531
Samsung,Shiraz,"['samsung', 's4']","['باسلام', 'گوش', 'اصل', 'اصل', '#هست', 'کارتن', 'یکم', 'تعمیر', 'داره']",0,Sunday 01PM,448892.65882815316
Huawei,Tehran,"['HUAWEI', 'honor', '3c', 'lite']","['2ماه', 'کارکرد', 'سالم']",2,Tuesday 10AM,446485.29505223426
Apple,Tehran,"['اپل', '5s', '32', 'گلد']","['اکبند', 'نقطه', 'همراه', 'گلس', 'ورو', 'وقاب']",1,Friday 06AM,1134059.3356466682
Samsung,Qom,"['A7', '2016']","['گوش', 'نونو', 'هستش', 'حق', 'تست']",2,Saturday 04PM,760528.4753562561
Huawei,Ahvaz,"['گوش', 'موبایلHUAWEIASCendG7']","['باسلام', 'گوش', 'هواوی', 'جی7', 'بسیارتمیزدرحدآک', 'مشخصات', 'گوش', '16', 'گیگ', 'حافظه', 'داخل', 'فورجی', 'صفحه', 'اچ', 'دی', 'دوربین', '13', 'به5', 'چهارهسته', 'ای', 'بسیارشیک', 'اندروید4', '4', '4', 'باتشکرازبرنامه', 'دیوار']",2,Wednesday 02PM,461406.54357283394
Apple,Shiraz,"['فروش', 'اپل', '4sگلد']","['گوشیه', 'سالم', 'مشکل', '83', 'گیگ', '#هست', '75', 'ساعت', 'تست', 'میدم', 'قیمت', '249']",1,Monday 07AM,891495.7095677583
LG,Mashhad,"['ال', 'جی', '10', 'رنگ', 'سفید']","['سلام', 'گوش', 'سالم', 'تمیز', 'درب', 'پشت', 'یکم', 'ساییدگی', 'داره', '4جی', 'پلاس', '32', 'گیگ', 'داخل', 'دوربین', '16', 'سلف', '5', 'داره', 'کارت', 'حافظه', 'میخوره', 'باتری', 'قایل', 'تعویض', 'قیمت', 'آکش', '1700', '#هست', '1350', 'میدم', 'قیمت', 'آخر', 'معاوضه', 'گوش', 'های', 'پایین', 'تر', 'همرده', 'اختلاف', 'قیمت', 'آک', 'آک', 'سر', 'میگیرم', 'اگه', 'پایین', 'باشه', 'پیامک', 'زد#زن', 'متشکر']",0,Friday 05PM,1087440.5893379503
Sony,Isfahan,"['گوشیه', 'سون', 'مدله', 'ال', 'تمیز']","['گوشیه', 'تمیزیه', 'میخوام', 'عوض', 'میفروشمش']",2,Monday 12PM,333319.8564992814
Huawei,Shiraz,"['گوش', 'موبایل', 'هواوی', 'G', '750']","['عدد', 'گوش', 'هواوی', 'G', '750', 'فروخت#فروش', 'میرسد', 'آی', 'شارژ', 'خراب', 'درست', 'کرد#کن', 'همینطوری', 'میخام', 'بفروشمش', 'مابقی', 'سالمه', 'سالم', 'تاچ', 'ال', 'دی', 'سالم', 'کوچک', 'خط', 'خش', 'تمیز', 'تمیز', 'شارژر', 'هنزفری', 'پل', 'کارتونشه', 'استفاده', 'شد#شو', 'ضدخش', 'گلس', 'بک', 'کاور', 'آی', 'فیس', 'روشه', 'خریدار', 'واقعی', 'تماس', 'گرفت#گیر', 'NUM']",2,Monday 04AM,434942.10387597594
Apple,Tehran,['ایفون3'],"['ایفون3', 'سالم']",2,Monday 08PM,897949.180526016
Apple,Mashhad,"['ایفون', 'se', 'gold', '16', 'gig']","['تمیز', 'مطابق', 'عکس', 'نقطه', 'خال', 'کوچیک', 'لوازم', 'کارتون', 'تکمیل', 'معاوضه', 'داشت#دار']",5,Tuesday 09AM,1217584.162107629
Huawei,Mashhad,"['گوش', 'موبایل', 'G', '700']","['ال', 'دی', 'شکسته', 'خاموشه', 'پیچ', 'های', 'گوش', 'شد#شو', 'لوازم', 'جانبی']",3,Saturday 09AM,202791.87489870834
Nokia,Kermanshah,"['نوکیا', 'N', '95']","['ال', 'دیش', 'شکسته', 'تعمیر', 'احتیاج', 'داره', 'کارتن', 'داره', 'خودم', 'وقت', 'نمیکنم', 'درست', 'میفروشم']",3,Saturday 10PM,64707.59624054254
Apple,Tehran,"['گوشى', 'آیفون', '3', 'اس', 'پلاس', '871', 'رنگ', 'گرى']","['فروش', 'خیلى', 'فورى', 'قیمت', 'میلیون', 'سیصد', 'هزار', 'تومان']",0,Monday 03PM,1832746.3748620248
Samsung,Kermanshah,"['نو', '3', 'معاوضع']","['نو', '3', 'تمیز', 'خط', 'خش', 'سری', 'N', '9005', 'اندروید', '5', 'حافظه', '32', 'گیگ', 'معاوضه', 'اس5', 'تعمیر', 'شد#شو', 'مثله', 'گوش', 'خودم', 'باشه', 'فقط', 'بخاطر', 'حسگر', 'انگشت', 'معاوضه', 'میکنم', 'یاحق']",0,Thursday 02PM,784683.5257052165
Samsung,Tehran,"['معاوضه', 'لپتاب']","['لبتاب', 'مدل', 'dell', 'e', '5420', 'cori', '5', 'ram', '4', 'grafic', '1', '6', 'up', 'to', '2', 'hard', '320', 'لبتاب', 'واقعا', 'قویه', 'کارا', 'سنگین', 'فوتوشاپ', 'اتوکد', '3D', 'بازی', 'left4', 'dead', 'وpes', '2015', 'نصبه', 'راحت', 'جواب', 'میده', 'معاوضه', 'گوش', 'های', 'پرچمدار', 'آیفون', 'سامسونگ', 'الجی']",2,Saturday 06PM,706932.7605488915
Huawei,Qom,"['گوش', 'هواوی', 'تمیز', 'خط', 'خش', 'قیمت']","['گوش', 'کار', 'کرد#کن', 'تمیزه', 'وسایلاش', 'تکمیل', 'هنسفری', 'لین', 'گوش', 'اکبنده', 'کار', 'کرد#کن', 'خاطر', 'میخام', 'فروخت#فروش', 'گوش', 'داشت#دار', 'زنگ', 'زد#زن', 'تماس', 'بگیرین']",0,Wednesday 10AM,320994.9681291776
